,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
2069,Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,8.799210833,12.05976521,10.67193676,11.25,7.354925776,5.950964999,0.248788555,2.523659306,0.869287023,1.057361395,1.741887859,-0.062999006,0.553455724,31.84101684,10.56328867,4.914239726,3.997141704,4.471125439,0.37226617,2.530775167,4.36152914,3.188693302,1.760904101,0.694336306,5.631633514,4.415899842,3.60736768,8.449721535,3.282440376,1.784844205,4.018699075,4.578374635,2.439200761,1.75805196,2.130268062,1.494563664,1.764634952,1.481020629,1.758565176,2.425006568
2241,Africa Western and Central,AFW,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2745,Africa Western and Central,AFW,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2845,Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.373809628,,,7.095694561,,,
3023,Arab World,ARB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3169,Arab World,ARB,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,Arab World,ARB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,571337000000.0,661284000000.0,715753000000.0,710754000000.0,793470000000.0,865382000000.0,891769000000.0,811157000000.0,755436000000.0,765299000000.0,747102000000.0,782116000000.0,778236000000.0,822211000000.0,841925000000.0,951926000000.0,966369000000.0,1014140000000.0,1047320000000.0,1080810000000.0,1110620000000.0,1161660000000.0,1210960000000.0,1274700000000.0,1297710000000.0,1385510000000.0,1406840000000.0,1412340000000.0,1478530000000.0,1618430000000.0,1708460000000.0,1814850000000.0,1897990000000.0,2008410000000.0,2017050000000.0,2111130000000.0,2191150000000.0,2336740000000.0,2415320000000.0,2478020000000.0,2562160000000.0,2648910000000.0,2675550000000.0,2732710000000.0,2774360000000.0,2635660000000.0
3356,Arab World,ARB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,4079.796792,4577.838673,4798.496531,4611.954779,4983.52982,5263.21468,5255.007216,4633.545088,4185.103989,4113.731,3898.25463,3963.327142,3832.069666,3936.10243,3920.415186,4275.371392,4224.900585,4353.361913,4377.635912,4403.385682,4387.92991,4485.168783,4572.726937,4711.059646,4695.153487,4907.179728,4877.541408,4793.026155,4910.208151,5256.979082,5424.259482,5628.274908,5746.409627,5935.101023,5819.054495,5948.674349,6033.619009,6291.072789,6361.180946,6388.296183,6469.63326,6556.008102,6494.945474,6508.74668,6484.118496,6043.964402
3512,Arab World,ARB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,8.266666666,15.52828175,9.669695482,10.31741589,11.98928332,9.71603275,,9.626056646,10.75850342,8.331255756,5.493665514,8.116397955,7.2543618,6.798858447,4.222416662,5.911544964,7.74088604,8.451462408,9.0,9.35975159,9.37034416,5.112598904,6.543790685,4.681306239,3.601161033,3.41731949,2.669373691,1.853790353,1.772204374,1.83299389,2.712592475,3.63228005,3.493685346,3.544985916,4.74390639,11.27066524,2.920897118,3.911061955,4.753163889,4.611844322,3.238108339,2.773516131,1.814077239,2.068840361,1.966825578,2.45814158,1.091848027,1.545831773
3684,Arab World,ARB,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4188,Arab World,ARB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4288,Arab World,ARB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.31185661,9.66471553,9.928998731,9.51309471,9.228201512,11.16619224,10.57115216,,10.50713812,,9.56101978,,,,
4466,Caribbean small states,CSS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.12007196,49.89435496,,,,,,,,,,,,,
4612,Caribbean small states,CSS,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4792,Caribbean small states,CSS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,21761259741.0,22711340533.0,24046082529.0,25384368207.0,26574407923.0,27150442088.0,29173785009.0,28958523468.0,28062468713.0,27751702707.0,28057703643.0,29098858898.0,30737867175.0,32269722803.0,33031388120.0,33370281547.0,33690437447.0,32873450654.0,33153471907.0,33152938496.0,33590345450.0,34225333887.0,34969392564.0,36415296611.0,36758285302.0,37261047451.0,38071511277.0,39235063887.0,40331515696.0,41504123447.0,42938922405.0,44654567394.0,45181960926.0,47413921097.0,49167646736.0,50158497436.0,51952563886.0,54873681577.0,57030575729.0,59085187455.0,63106489073.0,65198852059.0,66031596563.0,63683642089.0,64524447281.0,65259546722.0,66116360732.0,66647817699.0,66980014371.0,67557007309.0,66851386136.0,67038183913.0,68311456143.0,68768058626.0,63271336075.0
4799,Caribbean small states,CSS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,4681.498961,4819.325337,5036.999707,5251.388846,5430.614496,5481.518214,5820.090374,5709.587128,5469.417074,5348.00003,5347.841855,5486.945723,5734.07549,5953.921163,6025.216582,6014.266062,5996.978489,5780.340685,5764.309448,5707.948116,5736.599942,5806.001521,5896.878641,6102.752762,6116.93837,6150.378545,6228.178728,6358.671585,6476.532116,6607.670034,6782.031872,7000.738474,7033.469632,7330.015764,7548.591758,7647.165065,7865.682259,8250.464342,8515.858364,8762.893835,9296.605022,9541.210716,9599.048661,9195.601567,9253.214027,9293.098285,9348.186919,9356.292358,9337.21985,9354.079833,9196.291865,9164.536863,9282.798644,9291.236905,8501.593941
4955,Caribbean small states,CSS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,3.207179087,5.369919019,5.835231866,7.284216374,4.614971827,6.830811319,13.4406007,27.15818946,17.17760363,9.931595653,9.731132769,9.482382591,14.78223927,17.47030428,13.0032028,6.886832295,4.821053429,3.827545341,3.827542616,2.482245966,4.890522222,4.201205914,5.490303473,4.468437874,5.853306033,5.605012228,2.765748419,2.12909312,2.956800251,2.086573852,3.555670906,3.201943417,2.461549353,2.308815608,2.602624023,2.107334476,2.195182371,2.354332221,3.815851436,5.464555562,4.257557957,8.067647673,1.239738108,3.403267231,4.217242655,2.987662292,1.289501965,1.136309698,-0.679637508,0.488912144,1.892520278,1.282842884,1.431355982,
5127,Caribbean small states,CSS,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5631,Caribbean small states,CSS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.43381153,18.7448769,20.26584131,20.69730295,22.53810069,24.48203259,22.99906047,24.52479744,23.27315589,22.73497326,22.70920269,22.93213281,22.31233685,22.94273522,23.50070559,21.39657292,20.77902006,20.93098859,,
5731,Caribbean small states,CSS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.66638104,15.69762586,16.54365435,17.16961063,16.17792032,15.70938298,15.30764159,15.12112594,14.30292295,14.08033755,14.12682177,12.85403496,12.51624317,11.61351842,10.97346132,10.37312335,9.22805398,8.417759378,8.827739664,9.870760794,9.436234528,10.26230428,10.97587909,11.42385187,10.10719193,9.73899567,9.80765771,,,,
5909,Central Europe and the Baltics,CEB,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6055,Central Europe and the Baltics,CEB,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235,Central Europe and the Baltics,CEB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799457000000.0,721612000000.0,708569000000.0,719547000000.0,749109000000.0,791979000000.0,827938000000.0,847831000000.0,870789000000.0,887942000000.0,923076000000.0,951018000000.0,984768000000.0,1024810000000.0,1083770000000.0,1137850000000.0,1212490000000.0,1289880000000.0,1340260000000.0,1294460000000.0,1316590000000.0,1358120000000.0,1367200000000.0,1384230000000.0,1425640000000.0,1482390000000.0,1528200000000.0,1602920000000.0,1674990000000.0,1739250000000.0,1670060000000.0
6242,Central Europe and the Baltics,CEB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7219.023542,6532.232078,6435.015126,6538.841609,6808.744478,7208.704891,7552.371499,7748.265991,7971.45693,8141.703283,8511.706584,8833.525079,9206.905804,9611.462438,10192.30715,10730.23036,11463.14623,12240.43984,12764.16631,12351.62481,12608.38287,13037.04767,13154.3189,13346.67092,13774.78464,14356.14492,14837.67846,15601.66223,16335.26141,16985.0975,16333.72249
6398,Central Europe and the Baltics,CEB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.5275789,150.615832,72.87879139,35.92470539,27.95138856,19.79496692,8.881048485,8.208333333,4.019138756,8.911744187,5.748279817,3.12714223,2.348641696,3.592975942,3.317178244,3.930326038,4.837329283,6.358663802,2.753202239,1.801170221,4.130275626,3.334922677,1.438297872,0.053821313,-0.464499005,-0.054999542,2.075935537,2.534454242,2.664561334,1.804691118
6570,Central Europe and the Baltics,CEB,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7074,Central Europe and the Baltics,CEB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.86436666,20.3230259,19.61202131,19.31469674,19.20044527,18.46621284,17.93635102,17.21432823,17.34984762,17.71001652,17.32820155,17.49494073,17.74890716,18.27170381,18.16912984,16.76739897,16.9632579,17.18338025,17.24458574,17.23875725,17.25441045,17.65908912,17.64293382,17.66818751,17.71619261,17.7838501,
7174,Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.50337451,12.40148262,11.34858722,10.65841836,10.16559277,9.161709802,8.952602764,10.38508244,12.43365201,13.22653744,13.74175145,12.95719405,12.93416902,12.05586795,10.10474554,7.807919553,6.606063619,8.489908553,9.901324676,9.78950134,9.977193868,10.04678071,8.949772556,7.814061976,6.485959309,5.295027382,4.314951436,3.779593495,4.367326091
7352,Early-demographic dividend,EAR,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7498,Early-demographic dividend,EAR,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7678,Early-demographic dividend,EAR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1135160000000.0,1183150000000.0,1232020000000.0,1296200000000.0,1403470000000.0,1477760000000.0,1538770000000.0,1623260000000.0,1735690000000.0,1841520000000.0,2002610000000.0,2119210000000.0,2264110000000.0,2436270000000.0,2592900000000.0,2650720000000.0,2853440000000.0,2962660000000.0,2989830000000.0,3090320000000.0,3148030000000.0,3264100000000.0,3265340000000.0,3266960000000.0,3334120000000.0,3363210000000.0,3463950000000.0,3562390000000.0,3695070000000.0,3765100000000.0,3984300000000.0,4177400000000.0,4345440000000.0,4486500000000.0,4613090000000.0,4736710000000.0,4997810000000.0,5234420000000.0,5337850000000.0,5422290000000.0,5665900000000.0,5725600000000.0,5816470000000.0,6098010000000.0,6509040000000.0,6905920000000.0,7330230000000.0,7760150000000.0,8029090000000.0,8079750000000.0,8576600000000.0,9003410000000.0,9385450000000.0,9788870000000.0,10180900000000.0,10650800000000.0,11162500000000.0,11680900000000.0,12102400000000.0,12364000000000.0,11769100000000.0
7685,Early-demographic dividend,EAR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1158.318065,1179.383553,1199.386365,1232.165118,1302.483619,1338.718944,1360.604444,1400.735596,1461.663327,1513.360561,1606.007072,1658.484617,1729.126356,1815.698778,1885.984115,1881.897214,1977.622175,2004.680947,1975.024311,1992.347144,1980.023993,2002.154183,1952.798077,1904.781061,1895.610344,1865.30886,1874.913245,1882.53582,1907.348683,1899.495432,1963.683574,2014.574999,2051.877536,2075.392235,2091.385112,2105.208948,2178.097645,2237.524513,2238.911825,2232.67402,2291.239661,2275.077126,2271.969608,2342.415466,2459.506729,2567.454942,2681.844715,2794.516034,2846.554034,2820.847688,2949.396479,3050.530894,3134.390919,3223.116097,3305.824255,3411.357129,3527.490364,3642.912877,3725.643156,3757.732171,3532.027906
7841,Early-demographic dividend,EAR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,4.479810697,1.977741547,2.079221858,2.975139247,3.812664908,4.195298373,6.075,12.08193946,19.0704733,12.87918183,10.19347696,12.1569315,9.314183696,11.54241557,14.68450278,12.69397942,10.240268,10.36040358,8.577469043,9.568221071,10.43795799,9.801933874,9.183237622,9.304361258,12.17735221,15.19245641,10.63930219,10.36115574,10.24793556,10.0259149,8.789659224,7.087005912,6.613460705,5.181487799,3.938327418,3.765056849,4.237912219,5.603476754,4.433141367,4.869396969,5.796523376,6.21439995,10.5458043,4.530176591,4.453325375,5.81149209,5.018272542,4.824623143,4.073929575,3.062031696,3.219886894,3.328173375,3.751861867,2.767692311,3.088995271
8013,Early-demographic dividend,EAR,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8517,Early-demographic dividend,EAR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75212701,11.76235779,11.9050694,10.94532855,11.38359496,11.92508582,12.23652279,13.04137238,11.7286379,,,,,,,,,,13.2733584,12.47264111,12.34600524,12.34821614,12.43216803,12.64614334,12.39516615,12.95136949,13.10789179,12.97980358,13.51773424,,
8617,Early-demographic dividend,EAR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.212486655,,,,,,5.469697448,,,,,5.23836854,,,,,4.551331184,,4.798387107,,,,,,5.924577447,6.06377807,
8795,East Asia & Pacific,EAS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8941,East Asia & Pacific,EAS,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9121,East Asia & Pacific,EAS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1332150000000.0,1410590000000.0,1498850000000.0,1616310000000.0,1787870000000.0,1905950000000.0,2077200000000.0,2254830000000.0,2489630000000.0,2778970000000.0,2866270000000.0,3014440000000.0,3240480000000.0,3490530000000.0,3507240000000.0,3630450000000.0,3785460000000.0,3983000000000.0,4206560000000.0,4451390000000.0,4611270000000.0,4821880000000.0,5011360000000.0,5216040000000.0,5516300000000.0,5819460000000.0,6084500000000.0,6442190000000.0,6920850000000.0,7274190000000.0,7645100000000.0,7986330000000.0,8259340000000.0,8519980000000.0,8887720000000.0,9342530000000.0,9819550000000.0,10160800000000.0,10152200000000.0,10457800000000.0,10970100000000.0,11265300000000.0,11673400000000.0,12172100000000.0,12802800000000.0,13451500000000.0,14197200000000.0,15117300000000.0,15651700000000.0,15868900000000.0,16990800000000.0,17774000000000.0,18608600000000.0,19496100000000.0,20313100000000.0,21166000000000.0,22032800000000.0,23082800000000.0,24048900000000.0,24917000000000.0,
9128,East Asia & Pacific,EAS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,1278.854828,1351.586616,1416.526262,1491.218529,1611.721402,1678.126188,1781.996389,1887.793599,2033.210119,2211.671139,2222.879311,2276.619795,2389.847217,2516.939347,2476.413142,2515.92128,2579.403592,2672.3345,2779.831265,2897.182201,2957.420375,3046.417311,3115.140446,3191.039742,3324.68337,3454.95874,3556.151391,3704.432345,3915.849923,4052.21841,4195.681842,4320.98617,4410.44766,4493.206646,4630.042821,4809.627077,4996.854814,5112.834912,5054.113146,5155.051256,5357.422912,5452.962801,5603.623444,5797.326682,6051.998922,6311.837543,6613.363107,6992.965062,7189.190843,7239.248121,7698.981508,8000.270543,8319.247163,8657.072916,8958.430794,9271.695695,9585.706851,9974.794032,10329.44269,10645.2081,
9284,East Asia & Pacific,EAS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.685987788,7.887323944,6.415539635,7.819191447,6.49734556,6.212678645,4.887608396,5.649908939,4.6277666,5.52480986,3.727657602,5.491011804,1.983824272,1.591969175,3.577554521,2.32033006,2.289156627,3.23751394,3.037023326,3.936162599,3.764002592,8.342086349,1.62173014,3.057253056,5.021460146,2.973812061,2.582687661,2.510876333,0.78951789,1.276990945,1.800342225,2.312603433,1.63485544,
9456,East Asia & Pacific,EAS,Multidimensional poverty headcount ratio (% of total population),SI.POV.MDIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9960,East Asia & Pacific,EAS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060,East Asia & Pacific,EAS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.747697309,2.62349123,2.604369003,2.848900661,3.137458767,3.095790699,3.254002197,3.36043612,3.68605631,3.778115065,3.701926384,3.891262443,4.208643807,4.392137889,4.342700103,4.438719399,4.309800915,4.144804052,4.309047287,4.292663568,4.01397551,3.9097447,3.828326716,3.764084579,3.763436131,,,3.554555333,3.466968816,4.268433426,
10238,East Asia & Pacific (excluding high income),EAP,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10384,East Asia & Pacific (excluding high income),EAP,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
